Start,End,Frequency,Route
Leicester Square,Warren Street,1,Leicester Square - Warren Street
Leyton,Wood Lane,1,Leyton - Wood Lane
Leyton,West Kensington,1,Leyton - West Kensington
Leyton,Wembley Park,1,Leyton - Wembley Park
Leyton,Tufnell Park,1,Leyton - Tufnell Park
Leyton,Tottenham Court Road,1,Leyton - Tottenham Court Road
Leyton,Russell Square,1,Leyton - Russell Square
Leicester Square,Edgware Road C&H,1,Leicester Square - Edgware Road C&H
Leyton,Richmond,1,Leyton - Richmond
Leyton,Paddington,1,Leyton - Paddington
Leyton,Notting Hill Gate,1,Leyton - Notting Hill Gate
Leyton,Northwood,1,Leyton - Northwood
Leyton,Northolt,1,Leyton - Northolt
Leyton,Monument,1,Leyton - Monument
Leyton,Wood Green,1,Leyton - Wood Green
Langdon Park,Oxford Circus,1,Langdon Park - Oxford Circus
Leicester Square,Upton Park,1,Leicester Square - Upton Park
Leicester Square,Temple,1,Leicester Square - Temple
Leicester Square,Euston,1,Leicester Square - Euston
Leicester Square,Stratford,1,Leicester Square - Stratford
Leicester Square,Stockwell,1,Leicester Square - Stockwell
Leicester Square,Stamford Brook,1,Leicester Square - Stamford Brook
Moorgate,Hanger Lane,1,Moorgate - Hanger Lane
Moorgate,Paddington,1,Moorgate - Paddington
Moorgate,Old Street,1,Moorgate - Old Street
Moorgate,Northwood,1,Moorgate - Northwood
Moorgate,Newbury Park,1,Moorgate - Newbury Park
Moorgate,Neasden,1,Moorgate - Neasden
Moorgate,Leytonstone,1,Moorgate - Leytonstone
Moorgate,Ilford,1,Moorgate - Ilford
Moorgate,Highbury & Islington,1,Moorgate - Highbury & Islington
Moorgate,High Street Kensington,1,Moorgate - High Street Kensington
Moorgate,Harrow-on-the-Hill,1,Moorgate - Harrow-on-the-Hill
Moorgate,Hanwell,1,Moorgate - Hanwell
Moorgate,Hammersmith D&P,1,Moorgate - Hammersmith D&P
Leicester Square,St Johns Wood,1,Leicester Square - St Johns Wood
Moorgate,Hackney Downs,1,Moorgate - Hackney Downs
Moorgate,Goodmayes,1,Moorgate - Goodmayes
Moorgate,Golders Green,1,Moorgate - Golders Green
Moorgate,Gidea Park,1,Moorgate - Gidea Park
Moorgate,Finchley Central,1,Moorgate - Finchley Central
Moorgate,Farringdon,1,Moorgate - Farringdon
Moorgate,Euston NR,1,Moorgate - Euston NR
Moorgate,Elephant & Castle,1,Moorgate - Elephant & Castle
Moorgate,Cutty Sark,1,Moorgate - Cutty Sark
Moorgate,Crouch Hill,1,Moorgate - Crouch Hill
Moorgate,Clapton,1,Moorgate - Clapton
Moorgate,Piccadilly Circus,1,Moorgate - Piccadilly Circus
London Bridge,Heathrow T5 TfL Rail/HEx,1,London Bridge - Heathrow T5 TfL Rail/HEx
London Bridge,Harrow & Wealdstone,1,London Bridge - Harrow & Wealdstone
North Greenwich,High Street Kensington,1,North Greenwich - High Street Kensington
Leicester Square,Southwark,1,Leicester Square - Southwark
Leicester Square,Sloane Square,1,Leicester Square - Sloane Square
Leicester Square,Shepherds Bush Market,1,Leicester Square - Shepherds Bush Market
Leicester Square,Shepherds Bush LO,1,Leicester Square - Shepherds Bush LO
Leicester Square,Rickmansworth,1,Leicester Square - Rickmansworth
Leicester Square,Richmond,1,Leicester Square - Richmond
Leicester Square,Queens Park,1,Leicester Square - Queens Park
Leicester Square,Piccadilly Circus,1,Leicester Square - Piccadilly Circus
Leicester Square,Tottenham Hale,1,Leicester Square - Tottenham Hale
Leicester Square,Paddington,1,Leicester Square - Paddington
Leicester Square,Newbury Park,1,Leicester Square - Newbury Park
Leicester Square,New Cross Gate,1,Leicester Square - New Cross Gate
Leicester Square,Liverpool St NR,1,Leicester Square - Liverpool St NR
Leicester Square,Hyde Park Corner,1,Leicester Square - Hyde Park Corner
Leicester Square,Holborn,1,Leicester Square - Holborn
Leicester Square,High Street Kensington,1,Leicester Square - High Street Kensington
Leicester Square,Hampstead,1,Leicester Square - Hampstead
Leicester Square,Hammersmith D&P,1,Leicester Square - Hammersmith D&P
Leicester Square,Hammersmith C&H,1,Leicester Square - Hammersmith C&H
Leicester Square,Greenford,1,Leicester Square - Greenford
Leicester Square,Green Park,1,Leicester Square - Green Park
Leicester Square,Goodmayes,1,Leicester Square - Goodmayes
Leicester Square,Oakwood,1,Leicester Square - Oakwood
Newbury Park,Shadwell LO,1,Newbury Park - Shadwell LO
Newbury Park,Romford,1,Newbury Park - Romford
Newbury Park,Paddington,1,Newbury Park - Paddington
Maida Vale,Westbourne Park,1,Maida Vale - Westbourne Park
Maida Vale,Victoria,1,Maida Vale - Victoria
Maida Vale,Vauxhall,1,Maida Vale - Vauxhall
Maida Vale,Tufnell Park,1,Maida Vale - Tufnell Park
Maida Vale,Seven Sisters,1,Maida Vale - Seven Sisters
Maida Vale,Moorgate,1,Maida Vale - Moorgate
Maida Vale,Liverpool Street,1,Maida Vale - Liverpool Street
Maida Vale,Liverpool St NR,1,Maida Vale - Liverpool St NR
Maida Vale,Kentish Town,1,Maida Vale - Kentish Town
Maida Vale,Holborn,1,Maida Vale - Holborn
Maida Vale,Finchley Road,1,Maida Vale - Finchley Road
Maida Vale,Covent Garden,1,Maida Vale - Covent Garden
Manor House,Ladbroke Grove,1,Manor House - Ladbroke Grove
Maidenhead,Victoria,1,Maidenhead - Victoria
London Bridge,Woolwich EL,1,London Bridge - Woolwich EL
London Bridge,Wimbledon,1,London Bridge - Wimbledon
London Bridge,Oval,1,London Bridge - Oval
London Bridge,Notting Hill Gate,1,London Bridge - Notting Hill Gate
London Bridge,New Cross,1,London Bridge - New Cross
London Bridge,Mudchute,1,London Bridge - Mudchute
London Bridge,Morden,1,London Bridge - Morden
London Bridge,Monument,1,London Bridge - Monument
London Bridge,Mile End,1,London Bridge - Mile End
London Bridge,Marylebone,1,London Bridge - Marylebone
London Bridge,Manor House,1,London Bridge - Manor House
Maida Vale,Waterloo,1,Maida Vale - Waterloo
London City Airport,Bayswater,1,London City Airport - Bayswater
London City Airport,West Ham,1,London City Airport - West Ham
Maida Vale,Archway,1,Maida Vale - Archway
London City Airport,Tottenham Court Road,1,London City Airport - Tottenham Court Road
London City Airport,Stratford,1,London City Airport - Stratford
London City Airport,South Kensington,1,London City Airport - South Kensington
London City Airport,Paddington,1,London City Airport - Paddington
London City Airport,Knightsbridge,1,London City Airport - Knightsbridge
London City Airport,High Street Kensington,1,London City Airport - High Street Kensington
London City Airport,Finsbury Park,1,London City Airport - Finsbury Park
London City Airport,Canary Wharf,1,London City Airport - Canary Wharf
London City Airport,Brixton,1,London City Airport - Brixton
Loughton,Uxbridge,1,Loughton - Uxbridge
Loughton,Wimbledon,1,Loughton - Wimbledon
Maida Vale,Clapham Junction,1,Maida Vale - Clapham Junction
Maidenhead,Waterloo,1,Maidenhead - Waterloo
Manor House,Kenton,1,Manor House - Kenton
Manor House,Harrow-on-the-Hill,1,Manor House - Harrow-on-the-Hill
Manor House,Hammersmith C&H,1,Manor House - Hammersmith C&H
Manor House,Fulham Broadway,1,Manor House - Fulham Broadway
Manor House,Edmonton Green,1,Manor House - Edmonton Green
Manor House,Colindale,1,Manor House - Colindale
Manor House,Clapham Junction,1,Manor House - Clapham Junction
Manor House,Chiswick Park,1,Manor House - Chiswick Park
Manor House,Bond Street,1,Manor House - Bond Street
Manor House,Barking,1,Manor House - Barking
Manor House,Bank,1,Manor House - Bank
London Bridge,Liverpool St NR,1,London Bridge - Liverpool St NR
London Bridge,Leytonstone,1,London Bridge - Leytonstone
London Bridge,Leicester Square,1,London Bridge - Leicester Square
London Bridge,Putney Bridge,1,London Bridge - Putney Bridge
London Bridge,Tooting Bec,1,London Bridge - Tooting Bec
London Bridge,Woodside Park,1,London Bridge - Woodside Park
London Bridge,Sydenham SR,1,London Bridge - Sydenham SR
London Bridge,Stepney Green,1,London Bridge - Stepney Green
London Bridge,St James's Park,1,London Bridge - St James's Park
London Bridge,Southwark,1,London Bridge - Southwark
London Bridge,South Harrow,1,London Bridge - South Harrow
London Bridge,Shenfield,1,London Bridge - Shenfield
London Bridge,Seven Sisters,1,London Bridge - Seven Sisters
London Bridge,Romford,1,London Bridge - Romford
London Bridge,Queens Park,1,London Bridge - Queens Park
London Bridge,Plaistow,1,London Bridge - Plaistow
London Bridge,Lancaster Gate,1,London Bridge - Lancaster Gate
London Bridge,Pinner,1,London Bridge - Pinner
London Bridge,Pimlico,1,London Bridge - Pimlico
London Bridge,Stratford International,1,London Bridge - Stratford International
Mile End,Green Park,1,Mile End - Green Park
Manor House,London Bridge,1,Manor House - London Bridge
Manor House,Paddington,1,Manor House - Paddington
Marylebone,Kilburn High Road,1,Marylebone - Kilburn High Road
Marylebone,Hounslow East,1,Marylebone - Hounslow East
Marylebone,Heathrow T2&3 TfL Rail/HEx,1,Marylebone - Heathrow T2&3 TfL Rail/HEx
Marylebone,Green Park,1,Marylebone - Green Park
Marylebone,Gants Hill,1,Marylebone - Gants Hill
London Bridge,Tooting Broadway,1,London Bridge - Tooting Broadway
London Bridge,Tottenham Hale,1,London Bridge - Tottenham Hale
London Bridge,Totteridge & Whetstone,1,London Bridge - Totteridge & Whetstone
London Bridge,Turnham Green,1,London Bridge - Turnham Green
London Bridge,Ladbroke Grove,1,London Bridge - Ladbroke Grove
London Bridge,Kilburn High Road,1,London Bridge - Kilburn High Road
London Bridge,Kilburn,1,London Bridge - Kilburn
London Bridge,Imperial Wharf,1,London Bridge - Imperial Wharf
London Bridge,Hounslow East,1,London Bridge - Hounslow East
London Bridge,Holloway Road,1,London Bridge - Holloway Road
London Bridge,Holborn,1,London Bridge - Holborn
London Bridge,Highbury & Islington,1,London Bridge - Highbury & Islington
London Bridge,High Street Kensington,1,London Bridge - High Street Kensington
London Bridge,High Barnet,1,London Bridge - High Barnet
London Bridge,Heron Quays,1,London Bridge - Heron Quays
London Bridge,Heathrow Terminal 4,1,London Bridge - Heathrow Terminal 4
London Bridge,Paddington,1,London Bridge - Paddington
London Bridge,Paddington EL,1,London Bridge - Paddington EL
London Bridge,Peckham Rye,1,London Bridge - Peckham Rye
London Bridge,Perivale,1,London Bridge - Perivale
London Bridge,White City,1,London Bridge - White City
London Bridge,Wembley Park,1,London Bridge - Wembley Park
London Bridge,Wapping,1,London Bridge - Wapping
London Bridge,Wandsworth Road,1,London Bridge - Wandsworth Road
London Bridge,Vauxhall,1,London Bridge - Vauxhall
London Bridge,Uxbridge,1,London Bridge - Uxbridge
London Bridge,Upton Park,1,London Bridge - Upton Park
London City Airport,Turnham Green,1,London City Airport - Turnham Green
London City Airport,White City,1,London City Airport - White City
Newbury Park,Old Street,1,Newbury Park - Old Street
Neasden,Chalk Farm,1,Neasden - Chalk Farm
North Acton,Leicester Square,1,North Acton - Leicester Square
North Acton,Knightsbridge,1,North Acton - Knightsbridge
North Acton,Kilburn Park,1,North Acton - Kilburn Park
North Acton,Ilford,1,North Acton - Ilford
North Ealing,Northfields,1,North Ealing - Northfields
Morden,North Harrow,1,Morden - North Harrow
Newbury Park,Ladbroke Grove,1,Newbury Park - Ladbroke Grove
Newbury Park,Island Gardens,1,Newbury Park - Island Gardens
Neasden,Putney Bridge,1,Neasden - Putney Bridge
Neasden,Oxford Circus,1,Neasden - Oxford Circus
Neasden,Hendon Central,1,Neasden - Hendon Central
Neasden,Bank,1,Neasden - Bank
North Acton,London Bridge,1,North Acton - London Bridge
Mudchute,Willesden Junction,1,Mudchute - Willesden Junction
Mudchute,Shoreditch High Street,1,Mudchute - Shoreditch High Street
Mudchute,Northfields,1,Mudchute - Northfields
Mornington Crescent,Westbourne Park,1,Mornington Crescent - Westbourne Park
Mornington Crescent,Waterloo,1,Mornington Crescent - Waterloo
Mornington Crescent,Tower Hill,1,Mornington Crescent - Tower Hill
Mornington Crescent,Seven Sisters,1,Mornington Crescent - Seven Sisters
Mornington Crescent,Moorgate,1,Mornington Crescent - Moorgate
Mornington Crescent,Kings Cross St Pancras,1,Mornington Crescent - Kings Cross St Pancras
Mornington Crescent,Ilford,1,Mornington Crescent - Ilford
Mornington Crescent,High Street Kensington,1,Mornington Crescent - High Street Kensington
North Acton,Liverpool St NR,1,North Acton - Liverpool St NR
North Acton,Maida Vale,1,North Acton - Maida Vale
London City Airport,White Hart Lane,1,London City Airport - White Hart Lane
North Greenwich,Euston,1,North Greenwich - Euston
Newbury Park,Loughton,1,Newbury Park - Loughton
Newbury Park,London Bridge,1,Newbury Park - London Bridge
North Acton,Ealing Broadway,1,North Acton - Ealing Broadway
North Acton,Gloucester Road,1,North Acton - Gloucester Road
North Acton,Hammersmith D&P,1,North Acton - Hammersmith D&P
North Acton,Holborn,1,North Acton - Holborn
North Greenwich,Goodmayes,1,North Greenwich - Goodmayes
North Greenwich,Gloucester Road,1,North Greenwich - Gloucester Road
North Greenwich,Finsbury Park,1,North Greenwich - Finsbury Park
North Greenwich,Farringdon,1,North Greenwich - Farringdon
North Greenwich,Euston NR,1,North Greenwich - Euston NR
North Greenwich,Eastcote,1,North Greenwich - Eastcote
North Acton,Seven Sisters,1,North Acton - Seven Sisters
North Greenwich,East Ham,1,North Greenwich - East Ham
North Greenwich,Custom House DLR,1,North Greenwich - Custom House DLR
North Greenwich,Camden Town,1,North Greenwich - Camden Town
North Greenwich,Bounds Green,1,North Greenwich - Bounds Green
North Greenwich,Bethnal Green,1,North Greenwich - Bethnal Green
Newbury Park,Leyton,1,Newbury Park - Leyton
North Ealing,Tottenham Court Road,1,North Ealing - Tottenham Court Road
North Ealing,Mansion House,1,North Ealing - Mansion House
North Ealing,Hyde Park Corner,1,North Ealing - Hyde Park Corner
North Acton,Wimbledon,1,North Acton - Wimbledon
North Acton,W Silvertown,1,North Acton - W Silvertown
Mornington Crescent,Finsbury Park,1,Mornington Crescent - Finsbury Park
Mornington Crescent,Colliers Wood,1,Mornington Crescent - Colliers Wood
Mornington Crescent,Baker Street,1,Mornington Crescent - Baker Street
Mile End,Goodmayes,1,Mile End - Goodmayes
New Cross,Warren Street,1,New Cross - Warren Street
New Cross,Stratford,1,New Cross - Stratford
New Cross,Oxford Circus,1,New Cross - Oxford Circus
New Cross,Northwick Park,1,New Cross - Northwick Park
New Cross,Neasden,1,New Cross - Neasden
New Cross,Marble Arch,1,New Cross - Marble Arch
New Cross,Hounslow East,1,New Cross - Hounslow East
New Cross,Colindale,1,New Cross - Colindale
New Cross Gate,Bond Street,1,New Cross Gate - Bond Street
London Bridge,Harrow-on-the-Hill,1,London Bridge - Harrow-on-the-Hill
Mile End,Ilford,1,Mile End - Ilford
Loughton,Swiss Cottage,1,Loughton - Swiss Cottage
Morden,Upton Park,1,Morden - Upton Park
Loughton,Southfields,1,Loughton - Southfields
Loughton,South Woodford,1,Loughton - South Woodford
Loughton,South Kensington,1,Loughton - South Kensington
Loughton,Romford,1,Loughton - Romford
Loughton,Queensway,1,Loughton - Queensway
Loughton,Putney Bridge,1,Loughton - Putney Bridge
Loughton,Camden Town,1,Loughton - Camden Town
Loughton,Baker Street,1,Loughton - Baker Street
London Fields,Sloane Square,1,London Fields - Sloane Square
London Fields,North Greenwich,1,London Fields - North Greenwich
London Fields,Liverpool Street,1,London Fields - Liverpool Street
New Cross,Wembley Park,1,New Cross - Wembley Park
New Cross,Woolwich EL,1,New Cross - Woolwich EL
New Cross Gate,Angel,1,New Cross Gate - Angel
New Cross Gate,Bank,1,New Cross Gate - Bank
Morden,Temple,1,Morden - Temple
Morden,Southgate,1,Morden - Southgate
Morden,Ruislip Gardens,1,Morden - Ruislip Gardens
Morden,Ruislip,1,Morden - Ruislip
Morden,Northolt,1,Morden - Northolt
Neasden,Shepherds Bush,1,Neasden - Shepherds Bush
Neasden,Tottenham Court Road,1,Neasden - Tottenham Court Road
New Cross,Barbican,1,New Cross - Barbican
New Cross,Charing Cross,1,New Cross - Charing Cross
Newbury Park,Canary Wharf DLR,1,Newbury Park - Canary Wharf DLR
Newbury Park,Bow Church,1,Newbury Park - Bow Church
Newbury Park,Bounds Green,1,Newbury Park - Bounds Green
Newbury Park,Angel,1,Newbury Park - Angel
New Cross Gate,West Finchley,1,New Cross Gate - West Finchley
New Cross Gate,Walthamstow Central,1,New Cross Gate - Walthamstow Central
New Cross Gate,Stepney Green,1,New Cross Gate - Stepney Green
New Cross Gate,Oxford Circus,1,New Cross Gate - Oxford Circus
New Cross Gate,Nine Elms,1,New Cross Gate - Nine Elms
New Cross Gate,Highams Park,1,New Cross Gate - Highams Park
New Cross Gate,Hanwell,1,New Cross Gate - Hanwell
New Cross Gate,Greenford,1,New Cross Gate - Greenford
Newbury Park,Knightsbridge,1,Newbury Park - Knightsbridge
New Cross Gate,Canning Town,1,New Cross Gate - Canning Town
Leytonstone,Bethnal Green NR,1,Leytonstone - Bethnal Green NR
Leytonstone,Bond Street,1,Leytonstone - Bond Street
Leytonstone,Bow Church,1,Leytonstone - Bow Church
Liverpool St NR,Denmark Hill,1,Liverpool St NR - Denmark Hill
Limehouse DLR,Finchley Road,1,Limehouse DLR - Finchley Road
Limehouse DLR,Hammersmith D&P,1,Limehouse DLR - Hammersmith D&P
Limehouse DLR,Ladbroke Grove,1,Limehouse DLR - Ladbroke Grove
Liverpool St NR,Farringdon,1,Liverpool St NR - Farringdon
Liverpool St NR,Euston,1,Liverpool St NR - Euston
Liverpool St NR,Epping,1,Liverpool St NR - Epping
Liverpool St NR,Elephant & Castle,1,Liverpool St NR - Elephant & Castle
Liverpool St NR,Edgware Road B,1,Liverpool St NR - Edgware Road B
Liverpool St NR,East Ham,1,Liverpool St NR - East Ham
Liverpool St NR,East Finchley,1,Liverpool St NR - East Finchley
Liverpool St NR,Earls Court,1,Liverpool St NR - Earls Court
Liverpool St NR,Dagenham East,1,Liverpool St NR - Dagenham East
Leytonstone,Hammersmith C&H,1,Leytonstone - Hammersmith C&H
Liverpool St NR,Crossharbour,1,Liverpool St NR - Crossharbour
Liverpool St NR,Clapham High Street,1,Liverpool St NR - Clapham High Street
Liverpool St NR,Golders Green,1,Liverpool St NR - Golders Green
Liverpool St NR,Charing Cross,1,Liverpool St NR - Charing Cross
Liverpool St NR,Canning Town,1,Liverpool St NR - Canning Town
Liverpool St NR,Canary Wharf EL,1,Liverpool St NR - Canary Wharf EL
Liverpool St NR,Becontree,1,Liverpool St NR - Becontree
Liverpool St NR,Balham,1,Liverpool St NR - Balham
Liverpool St NR,Aldgate East,1,Liverpool St NR - Aldgate East
Limehouse DLR,Swiss Cottage,1,Limehouse DLR - Swiss Cottage
Limehouse DLR,Pimlico,1,Limehouse DLR - Pimlico
Limehouse DLR,Euston,1,Limehouse DLR - Euston
Leytonstone,Leicester Square,1,Leytonstone - Leicester Square
Liverpool Street,Barking,1,Liverpool Street - Barking
Leytonstone High Road,London Bridge,1,Leytonstone High Road - London Bridge
Liverpool St NR,Goodmayes,1,Liverpool St NR - Goodmayes
Woolwich EL,Warren Street,1,Woolwich EL - Warren Street
Limehouse DLR,Canary Wharf,1,Limehouse DLR - Canary Wharf
Limehouse DLR,Brentwood,1,Limehouse DLR - Brentwood
Limehouse DLR,Blackfriars,1,Limehouse DLR - Blackfriars
Limehouse DLR,Barking,1,Limehouse DLR - Barking
Limehouse DLR,Bank,1,Limehouse DLR - Bank
Limehouse DLR,Archway,1,Limehouse DLR - Archway
Leytonstone High Road,Victoria,1,Leytonstone High Road - Victoria
Leytonstone High Road,Turnpike Lane,1,Leytonstone High Road - Turnpike Lane
Leytonstone High Road,Piccadilly Circus,1,Leytonstone High Road - Piccadilly Circus
Leytonstone High Road,Euston,1,Leytonstone High Road - Euston
Leytonstone,Manor House,1,Leytonstone - Manor House
Leytonstone,Wood Green,1,Leytonstone - Wood Green
Leytonstone,Wembley Park,1,Leytonstone - Wembley Park
Leytonstone,Waterloo,1,Leytonstone - Waterloo
Leytonstone,Warren Street,1,Leytonstone - Warren Street
Leytonstone,Tower Hill,1,Leytonstone - Tower Hill
Leytonstone,Totteridge & Whetstone,1,Leytonstone - Totteridge & Whetstone
Leytonstone,Stratford,1,Leytonstone - Stratford
Leytonstone,Slough,1,Leytonstone - Slough
Leytonstone,Plaistow,1,Leytonstone - Plaistow
Leytonstone,Paddington,1,Leytonstone - Paddington
Leytonstone,Moorgate,1,Leytonstone - Moorgate
Limehouse DLR,Peckham Rye,1,Limehouse DLR - Peckham Rye
Limehouse DLR,Paddington EL,1,Limehouse DLR - Paddington EL
Limehouse DLR,Northolt,1,Limehouse DLR - Northolt
London Bridge,Greenford,1,London Bridge - Greenford
Liverpool Street,Vauxhall,1,Liverpool Street - Vauxhall
Liverpool Street,Uxbridge,1,Liverpool Street - Uxbridge
Liverpool Street,Turnpike Lane,1,Liverpool Street - Turnpike Lane
London Bridge,Boston Manor,1,London Bridge - Boston Manor
London Bridge,Caledonian Road,1,London Bridge - Caledonian Road
London Bridge,Camden Road,1,London Bridge - Camden Road
London Bridge,Canning Town,1,London Bridge - Canning Town
London Bridge,Harlesden,1,London Bridge - Harlesden
London Bridge,Hampstead Heath,1,London Bridge - Hampstead Heath
London Bridge,Hammersmith C&H,1,London Bridge - Hammersmith C&H
London Bridge,Hackney Downs,1,London Bridge - Hackney Downs
London Bridge,Goodge Street,1,London Bridge - Goodge Street
Limehouse DLR,Liverpool St NR,1,Limehouse DLR - Liverpool St NR
London Bridge,Gloucester Road,1,London Bridge - Gloucester Road
London Bridge,Gidea Park,1,London Bridge - Gidea Park
London Bridge,Finchley Road & Frognal,1,London Bridge - Finchley Road & Frognal
London Bridge,Finchley Road,1,London Bridge - Finchley Road
London Bridge,Fairlop,1,London Bridge - Fairlop
London Bridge,Enfield Town,1,London Bridge - Enfield Town
Liverpool Street,Tower Hill,1,Liverpool Street - Tower Hill
London Bridge,East Ham,1,London Bridge - East Ham
London Bridge,Earls Court,1,London Bridge - Earls Court
London Bridge,Ealing Broadway,1,London Bridge - Ealing Broadway
London Bridge,Cyprus,1,London Bridge - Cyprus
Liverpool Street,Walthamstow Central,1,Liverpool Street - Walthamstow Central
Liverpool Street,Wanstead Park,1,Liverpool Street - Wanstead Park
Liverpool Street,Warwick Avenue,1,Liverpool Street - Warwick Avenue
Liverpool Street,Watford Junction,1,Liverpool Street - Watford Junction
Limehouse DLR,Leicester Square,1,Limehouse DLR - Leicester Square
Liverpool St NR,Chancery Lane,1,Liverpool St NR - Chancery Lane
Leytonstone,Green Park,1,Leytonstone - Green Park
Liverpool Street,Ealing Broadway,1,Liverpool Street - Ealing Broadway
Liverpool Street,East Acton,1,Liverpool Street - East Acton
London Bridge,Blackwall,1,London Bridge - Blackwall
London Bridge,Bermondsey,1,London Bridge - Bermondsey
London Bridge,Beckton,1,London Bridge - Beckton
London Bridge,Battersea Power Station,1,London Bridge - Battersea Power Station
London Bridge,Barons Court,1,London Bridge - Barons Court
London Bridge,Barking,1,London Bridge - Barking
London Bridge,Arnos Grove,1,London Bridge - Arnos Grove
London Bridge,Amersham,1,London Bridge - Amersham
London Bridge,Aldgate East,1,London Bridge - Aldgate East
Liverpool Street,Woolwich Arsenal DLR,1,Liverpool Street - Woolwich Arsenal DLR
Liverpool Street,Woodside Park,1,Liverpool Street - Woodside Park
Liverpool Street,Wood Lane,1,Liverpool Street - Wood Lane
Liverpool Street,Wood Green,1,Liverpool Street - Wood Green
Liverpool Street,Willesden Junction,1,Liverpool Street - Willesden Junction
Liverpool Street,Whitechapel,1,Liverpool Street - Whitechapel
Liverpool Street,West Ruislip,1,Liverpool Street - West Ruislip
Liverpool Street,West Harrow,1,Liverpool Street - West Harrow
Liverpool Street,West Hampstead LO,1,Liverpool Street - West Hampstead LO
Liverpool Street,Denmark Hill,1,Liverpool Street - Denmark Hill
Liverpool St NR,St Pauls,1,Liverpool St NR - St Pauls
London Bridge,Crossharbour,1,London Bridge - Crossharbour
Queensway,Victoria,1,Queensway - Victoria
Rayners Lane,Hackney Wick,1,Rayners Lane - Hackney Wick
Rayners Lane,Gidea Park,1,Rayners Lane - Gidea Park
Rayners Lane,Angel,1,Rayners Lane - Angel
Ravenscourt Park,Notting Hill Gate,1,Ravenscourt Park - Notting Hill Gate
Ravenscourt Park,Holborn,1,Ravenscourt Park - Holborn
Ravenscourt Park,Hendon Central,1,Ravenscourt Park - Hendon Central
Ravenscourt Park,Farringdon,1,Ravenscourt Park - Farringdon
Ravenscourt Park,Brentwood,1,Ravenscourt Park - Brentwood
Rayners Lane,Turnpike Lane,1,Rayners Lane - Turnpike Lane
Ravenscourt Park,Bond Street,1,Ravenscourt Park - Bond Street
Queensway,Westminster,1,Queensway - Westminster
Queensway,Vauxhall,1,Queensway - Vauxhall
Rayners Lane,Hayes & Harlington,1,Rayners Lane - Hayes & Harlington
Queensway,Tufnell Park,1,Queensway - Tufnell Park
Queensway,Tottenham Court Road,1,Queensway - Tottenham Court Road
Queensway,Tooting Broadway,1,Queensway - Tooting Broadway
Queensway,Temple,1,Queensway - Temple
Queensway,Sydenham SR,1,Queensway - Sydenham SR
Queensway,Swiss Cottage,1,Queensway - Swiss Cottage
Queensway,Stratford,1,Queensway - Stratford
Queensway,South Wimbledon,1,Queensway - South Wimbledon
Queensway,Snaresbrook,1,Queensway - Snaresbrook
Ravenscourt Park,Barons Court,1,Ravenscourt Park - Barons Court
Shoreditch High Street,Clapham Junction,1,Shoreditch High Street - Clapham Junction
Rayners Lane,Hammersmith C&H,1,Rayners Lane - Hammersmith C&H
Rayners Lane,Kings Cross St Pancras,1,Rayners Lane - Kings Cross St Pancras
Liverpool St NR,Stockwell,1,Liverpool St NR - Stockwell
Queens Rd Peckham,Upper Holloway,1,Queens Rd Peckham - Upper Holloway
Queensbury,Wembley Park,1,Queensbury - Wembley Park
Queensbury,Victoria,1,Queensbury - Victoria
Queensbury,Tottenham Court Road,1,Queensbury - Tottenham Court Road
Queensbury,Shadwell LO,1,Queensbury - Shadwell LO
Queensbury,Richmond,1,Queensbury - Richmond
Queensbury,Paddington,1,Queensbury - Paddington
Queensbury,Oval,1,Queensbury - Oval
Queensbury,Kings Cross St Pancras,1,Queensbury - Kings Cross St Pancras
Queensbury,Hornchurch,1,Queensbury - Hornchurch
Queensbury,Heron Quays,1,Queensbury - Heron Quays
Queensbury,Barking,1,Queensbury - Barking
Queens Rd Peckham,Piccadilly Circus,1,Queens Rd Peckham - Piccadilly Circus
Rayners Lane,Marylebone,1,Rayners Lane - Marylebone
Queens Rd Peckham,Paddington,1,Queens Rd Peckham - Paddington
Queens Rd Peckham,Oxford Circus,1,Queens Rd Peckham - Oxford Circus
Queens Rd Peckham,Old Street,1,Queens Rd Peckham - Old Street
Queens Rd Peckham,Kings Cross St Pancras,1,Queens Rd Peckham - Kings Cross St Pancras
Queens Rd Peckham,Ilford,1,Queens Rd Peckham - Ilford
Queens Rd Peckham,Hillingdon,1,Queens Rd Peckham - Hillingdon
Queens Rd Peckham,Farringdon,1,Queens Rd Peckham - Farringdon
Queensway,Marble Arch,1,Queensway - Marble Arch
Queensway,Nine Elms,1,Queensway - Nine Elms
Queensway,Oakwood,1,Queensway - Oakwood
Queensway,Shepherds Bush Market,1,Queensway - Shepherds Bush Market
North Greenwich,Holborn,1,North Greenwich - Holborn
North Greenwich,Grange Hill,1,North Greenwich - Grange Hill
Liverpool St NR,Queensway,1,Liverpool St NR - Queensway
Liverpool Street,Bermondsey,1,Liverpool Street - Bermondsey
Liverpool Street,Covent Garden,1,Liverpool Street - Covent Garden
Liverpool Street,Charing Cross,1,Liverpool Street - Charing Cross
Liverpool Street,Cannon Street ,1,Liverpool Street - Cannon Street 
Liverpool Street,Canary Wharf EL,1,Liverpool Street - Canary Wharf EL
Liverpool Street,Canary Wharf DLR,1,Liverpool Street - Canary Wharf DLR
Liverpool Street,Canary Wharf,1,Liverpool Street - Canary Wharf
Liverpool Street,Canada Water,1,Liverpool Street - Canada Water
